212	1
Acanthomyrmex.ferox	R
Acanthomyrmex.notabilis	R
Acromyrmex.balzani	R
Acromyrmex.crassispinus	R
Acromyrmex.octospinosus	R
Acromyrmex.subterraneus	R
Amblyopone.australis	R
Aneuretus.simoni	R
Anochetus.kempfi	R
Anoplolepis.gracilipes	R
Aphaenogaster.gibbosa	R
Aphaenogaster.senilis	R
Aphaenogaster.subterranea	R
Atopomyrmex.mocquerysi	R
Atta.cephalotes	R
Atta.laevigata	R
Atta.sexdens	R
Atta.texana	R
Basiceros.manni	R
Brachymyrmex.patagonicus	R
Brachyponera.chinensis	S
Camponotus.aethiops	R
Camponotus.cruentatus	R
Camponotus.fellah	R
Camponotus.floridanus	R
Camponotus.herculeanus	R
Camponotus.japonicus	R
Camponotus.ligniperda	R
Camponotus.mus	R
Camponotus.pennsylvanicus	R
Camponotus.pilicornis	R
Camponotus.sanctus	R
Camponotus.vagus	R
Camponotus.yamaokai	R
Cardiocondyla.emeryi	S
Cardiocondyla.koshewnikovi	S
Cardiocondyla.mauritanica	S
Cardiocondyla.nuda	S
Cardiocondyla.obscurior	S
Carebara.diversa	S
Carebara.overbecki	S
Carebara.perpusilla	S
Cataglyphis.bicolor	R
Cataglyphis.bombycina	R
Cataglyphis.cursor	R
Cataglyphis.iberica	R
Cataglyphis.nigra	R
Cataglyphis.rosenhaueri	R
Cataglyphis.velox	R
Cataulacus.muticus	R
Cephalotes.atratus	R
Cephalotes.goniodontus	R
Cephalotes.pusillus	R
Cerapachys.sulcinodis	R
Crematogaster.ashmeadi	R
Cryptopone.gilva	R
Cryptopone.sauteri	R
Cyphomyrmex.rimosus	R
Daceton.armigerum	R
Dinoponera.quadriceps	G
Discothyrea.sauteri	R
Dolichoderus.thoracicus	R
Dorylus.laevigatus	R
Ectatomma.ruidum	R
Ectatomma.tuberculatum	R
Eurhopalothrix.biroi	R
Eurhopalothrix.heliscata	R
Forelius.damiani	R
Formica.bruni	R
Formica.cinerea	R
Formica.clara	R
Formica.cunicularia	R
Formica.exsecta	R
Formica.fusca	R
Formica.glacialis	R
Formica.japonica	R
Formica.lemani	R
Formica.lugubris	R
Formica.obscuripes	R
Formica.paralugubris	R
Formica.polyctena	R
Formica.pratensis	R
Formica.rufa	R
Formica.rufibarbis	R
Formica.sanguinea	R
Formica.subintegra	R
Formica.truncorum	R
Formica.yessensis	R
Formicoxenus.provancheri	R
Gnamptogenys.bicolor	R
Gnamptogenys.striatula	G
Hypoponera.eduardi	S
Lasius.alienus	R
Lasius.brunneus	R
Lasius.emarginatus	R
Lasius.flavus	R
Lasius.fuliginosus	R
Lasius.grandis	R
Lasius.neglectus	R
Lasius.niger	R
Lasius.platythorax	R
Lasius.psammophilus	R
Leptanilla.japonica	R
Leptogenys.schwabi	G
Leptomyrmex.erythrocephalus	R
Leptothorax.acervorum	R
Leptothorax.muscorum	R
Linepithema.humile	R
Liometopum.occidentale	R
Manica.rubida	R
Megaponera.analis	R
Melophorus.bagoti	R
Mesoponera.caffraria	R
Messor.barbarus	R
Messor.capitatus	R
Messor.structor	R
Monomorium.floricola	S
Monomorium.pharaonis	S
Monomorium.rothsteini	S
Myrmecia.pyriformis	G
Myrmecina.nipponica	R
Myrmecocystus.mexicanus	R
Myrmecocystus.mimicus	R
Myrmica.incompleta	R
Myrmica.rubra	R
Myrmica.ruginodis	R
Myrmica.sabuleti	R
Myrmica.scabrinodis	R
Myrmica.schencki	R
Myrmicaria.natalensis.eumenoides	R
Myrmoteras.barbouri	R
Myrmoteras.iriodum	R
Myrmoteras.jaitrongi	R
Myrmoteras.toro	R
Neoponera.apicalis	R
Neoponera.villosa	R
Nesomyrmex.echinatinodis	R
Nesomyrmex.spininodis	R
Nothomyrmecia.macrops	R
Nylanderia.fulva	R
Ochetellus.glaber	R
Ocymyrmex.foreli	R
Odontomachus.affinis	R
Oecophylla.longinoda	R
Oecophylla.smaragdina	R
Ooceraea.biroi	R
Ophthalmopone.berthoudi	G
Orectognathus.versicolor	R
Paratrechina.longicornis	R
Pheidole.bicornis	S
Pheidole.dentata	S
Pheidole.megacephala	S
Pheidole.morrisii	S
Pheidole.spadonia	S
Plagiolepis.pygmaea	R
Platythyrea.punctata	G
Platythyrea.schultzei	G
Pogonomyrmex.badius	R
Pogonomyrmex.barbatus	R
Polyrhachis.dives	R
Polyrhachis.laboriosa	R
Polyrhachis.loweryi	R
Ponera.coarctata	R
Prenolepis.imparis	R
Prenolepis.nitens	R
Prionopelta.amabilis	R
Pristomyrmex.punctatus	R
Proatta.butteli	R
Proceratium.croceum	R
Proceratium.itoi	R
Proformica.epinotalis	R
Pseudomyrmex.elongatus	R
Pseudomyrmex.ferrugineus	R
Pseudomyrmex.gracilis	R
Pseudomyrmex.oculatus	R
Pseudomyrmex.penetrator	R
Pseudomyrmex.peperi	R
Pseudomyrmex.satanicus	R
Pseudomyrmex.tenuis	R
Pseudomyrmex.termitarius	R
Rhytidoponera.mayri	G
Solenopsis.geminata	S
Solenopsis.invicta	S
Streblognathus.aethiopicus	G
Strumigenys.hexamera	S
Strumigenys.lewisi	S
Strumigenys.louisianae	S
Strumigenys.membranifera	S
Strumigenys.rostrata	S
Strumigenys.solifontis	S
Tapinoma.erraticum	R
Tapinoma.madeirense	R
Tapinoma.melanocephalum	R
Tapinoma.nigerrimum	R
Tapinoma.sessile	R
Temnothorax.albipennis	R
Temnothorax.ambiguus	R
Temnothorax.crassispinus	R
Temnothorax.curvispinosus	R
Temnothorax.interruptus	R
Temnothorax.longispinosus	R
Temnothorax.nigriceps	R
Temnothorax.nylanderi	R
Temnothorax.parvulus	R
Temnothorax.rugatulus	R
Temnothorax.tuberum	R
Temnothorax.unifasciatus	R
Tetramorium.bicarinatum	S
Tetramorium.tsushimae	S
Tetraponera.rufonigra	R
Wasmannia.auropunctata	R
Xenomyrmex.floridanus	R
