212	1
Acanthomyrmex.ferox	N
Acanthomyrmex.notabilis	N
Acromyrmex.balzani	N
Acromyrmex.crassispinus	N
Acromyrmex.octospinosus	N
Acromyrmex.subterraneus	N
Amblyopone.australis	N
Aneuretus.simoni	N
Anochetus.kempfi	N
Anoplolepis.gracilipes	N
Aphaenogaster.gibbosa	N
Aphaenogaster.senilis	N
Aphaenogaster.subterranea	N
Atopomyrmex.mocquerysi	N
Atta.cephalotes	N
Atta.laevigata	N
Atta.sexdens	N
Atta.texana	N
Basiceros.manni	N
Brachymyrmex.patagonicus	N
Brachyponera.chinensis	N
Camponotus.aethiops	N
Camponotus.cruentatus	N
Camponotus.fellah	N
Camponotus.floridanus	N
Camponotus.herculeanus	N
Camponotus.japonicus	N
Camponotus.ligniperda	N
Camponotus.mus	N
Camponotus.pennsylvanicus	N
Camponotus.pilicornis	N
Camponotus.sanctus	N
Camponotus.vagus	N
Camponotus.yamaokai	N
Cardiocondyla.emeryi	N
Cardiocondyla.koshewnikovi	N
Cardiocondyla.mauritanica	N
Cardiocondyla.nuda	N
Cardiocondyla.obscurior	N
Carebara.diversa	N
Carebara.overbecki	N
Carebara.perpusilla	N
Cataglyphis.bicolor	N
Cataglyphis.bombycina	N
Cataglyphis.cursor	N
Cataglyphis.iberica	N
Cataglyphis.nigra	N
Cataglyphis.rosenhaueri	N
Cataglyphis.velox	N
Cataulacus.muticus	N
Cephalotes.atratus	N
Cephalotes.goniodontus	N
Cephalotes.pusillus	N
Cerapachys.sulcinodis	N
Crematogaster.ashmeadi	N
Cryptopone.gilva	N
Cryptopone.sauteri	N
Cyphomyrmex.rimosus	N
Daceton.armigerum	N
Dinoponera.quadriceps	N
Discothyrea.sauteri	N
Dolichoderus.thoracicus	N
Dorylus.laevigatus	N
Ectatomma.ruidum	N
Ectatomma.tuberculatum	N
Eurhopalothrix.biroi	N
Eurhopalothrix.heliscata	N
Forelius.damiani	N
Formica.bruni	N
Formica.cinerea	N
Formica.clara	N
Formica.cunicularia	N
Formica.exsecta	N
Formica.fusca	N
Formica.glacialis	N
Formica.japonica	N
Formica.lemani	N
Formica.lugubris	N
Formica.obscuripes	N
Formica.paralugubris	N
Formica.polyctena	N
Formica.pratensis	N
Formica.rufa	N
Formica.rufibarbis	N
Formica.sanguinea	N
Formica.subintegra	N
Formica.truncorum	N
Formica.yessensis	N
Formicoxenus.provancheri	N
Gnamptogenys.bicolor	N
Gnamptogenys.striatula	N
Hypoponera.eduardi	N
Lasius.alienus	N
Lasius.brunneus	N
Lasius.emarginatus	N
Lasius.flavus	N
Lasius.fuliginosus	N
Lasius.grandis	N
Lasius.neglectus	N
Lasius.niger	N
Lasius.platythorax	N
Lasius.psammophilus	N
Leptanilla.japonica	N
Leptogenys.schwabi	N
Leptomyrmex.erythrocephalus	N
Leptothorax.acervorum	N
Leptothorax.muscorum	N
Linepithema.humile	N
Liometopum.occidentale	N
Manica.rubida	N
Megaponera.analis	N
Melophorus.bagoti	N
Mesoponera.caffraria	N
Messor.barbarus	N
Messor.capitatus	C
Messor.structor	N
Monomorium.floricola	N
Monomorium.pharaonis	N
Monomorium.rothsteini	N
Myrmecia.pyriformis	N
Myrmecina.nipponica	N
Myrmecocystus.mexicanus	N
Myrmecocystus.mimicus	N
Myrmica.incompleta	N
Myrmica.rubra	N
Myrmica.ruginodis	N
Myrmica.sabuleti	N
Myrmica.scabrinodis	N
Myrmica.schencki	N
Myrmicaria.natalensis.eumenoides	N
Myrmoteras.barbouri	N
Myrmoteras.iriodum	N
Myrmoteras.jaitrongi	N
Myrmoteras.toro	N
Neoponera.apicalis	N
Neoponera.villosa	N
Nesomyrmex.echinatinodis	N
Nesomyrmex.spininodis	N
Nothomyrmecia.macrops	N
Nylanderia.fulva	N
Ochetellus.glaber	N
Ocymyrmex.foreli	N
Odontomachus.affinis	N
Oecophylla.longinoda	N
Oecophylla.smaragdina	N
Ooceraea.biroi	C
Ophthalmopone.berthoudi	N
Orectognathus.versicolor	N
Paratrechina.longicornis	N
Pheidole.bicornis	N
Pheidole.dentata	N
