species	troph_status
Acanthomyrmex.ferox	1
Acanthomyrmex.notabilis	1
Acromyrmex.balzani	1
Acromyrmex.crassispinus	0
Acromyrmex.octospinosus	1
Acromyrmex.subterraneus	1
Amblyopone.australis	0
Aneuretus.simoni	1
Anochetus.kempfi	1
Anoplolepis.gracilipes	1
Aphaenogaster.senilis	0
Aphaenogaster.subterranea	0
Atopomyrmex.mocquerysi	1
Atta.laevigata	1
Atta.sexdens	0
Atta.texana	1
Basiceros.manni	0
Brachymyrmex.patagonicus	1
Brachyponera.chinensis	1
Camponotus.cruentatus	1
Camponotus.fellah	1
Camponotus.floridanus	1
Camponotus.herculeanus	1
Camponotus.mus	1
Camponotus.pennsylvanicus	1
Camponotus.sanctus	1
Camponotus.vagus	1
Camponotus.yamaokai	1
Cardiocondyla.obscurior	1
Carebara.overbecki	1
Carebara.perpusilla	1
Cataglyphis.iberica	1
Cataglyphis.nigra	1
Cataulacus.muticus	1
Cephalotes.atratus	1
Cephalotes.goniodontus	1
Cephalotes.pusillus	1
Crematogaster.ashmeadi	1
Cryptopone.gilva	1
Cryptopone.sauteri	0
Cyphomyrmex.rimosus	1
Daceton.armigerum	1
Dinoponera.quadriceps	0
Discothyrea.sauteri	0
Dolichoderus.thoracicus	1
Dorylus.laevigatus	0
Ectatomma.ruidum	0
Eurhopalothrix.biroi	0
Eurhopalothrix.heliscata	0
Forelius.damiani	1
Formica.cinerea	1
Formica.exsecta	1
Formica.fusca	1
Formica.glacialis	1
Formica.japonica	1
Formica.lugubris	1
Formica.obscuripes	1
Formica.paralugubris	1
Formica.polyctena	1
Formica.pratensis	1
Formica.rufa	1
Formica.sanguinea	1
Formica.subintegra	1
Formica.truncorum	1
Formicoxenus.provancheri	1
Gnamptogenys.striatula	0
Hypoponera.eduardi	1
Lasius.brunneus	1
Lasius.flavus	1
Lasius.fuliginosus	1
Lasius.neglectus	1
Lasius.niger	1
Lasius.platythorax	1
Leptanilla.japonica	0
Leptogenys.schwabi	0
Leptomyrmex.erythrocephalus	1
Leptothorax.acervorum	1
Leptothorax.muscorum	1
Linepithema.humile	1
Liometopum.occidentale	1
Manica.rubida	1
Megaponera.analis	0
Melophorus.bagoti	1
Mesoponera.caffraria	1
Messor.barbarus	0
Messor.capitatus	0
Messor.structor	0
Monomorium.pharaonis	1
Monomorium.rothsteini	1
Myrmecia.pyriformis	1
Myrmecocystus.mexicanus	1
Myrmecocystus.mimicus	1
Myrmica.incompleta	1
Myrmica.rubra	1
Myrmica.ruginodis	1
Myrmica.sabuleti	1
Myrmica.schencki	0
Myrmoteras.barbouri	1
Myrmoteras.iriodum	1
Myrmoteras.toro	1
Neoponera.apicalis	0
Nesomyrmex.echinatinodis	1
Nesomyrmex.spininodis	1
Nothomyrmecia.macrops	0
Nylanderia.fulva	1
Ocymyrmex.foreli	1
Odontomachus.affinis	1
Oecophylla.longinoda	1
Oecophylla.smaragdina	1
Ooceraea.biroi	0
Ophthalmopone.berthoudi	0
Orectognathus.versicolor	1
Paratrechina.longicornis	1
Pheidole.bicornis	1
Pheidole.dentata	1
Pheidole.megacephala	1
Pheidole.morrisii	1
Pheidole.spadonia	1
Plagiolepis.pygmaea	1
Platythyrea.punctata	0
Platythyrea.schultzei	0
Pogonomyrmex.badius	0
Pogonomyrmex.barbatus	1
Polyrhachis.dives	1
Polyrhachis.laboriosa	1
Polyrhachis.loweryi	1
Ponera.coarctata	1
Prenolepis.imparis	1
Prenolepis.nitens	1
Prionopelta.amabilis	0
Pristomyrmex.punctatus	1
Proatta.butteli	1
Proceratium.croceum	0
Proformica.epinotalis	1
Pseudomyrmex.elongatus	1
Pseudomyrmex.ferrugineus	1
Pseudomyrmex.gracilis	1
Pseudomyrmex.oculatus	1
Pseudomyrmex.penetrator	1
Pseudomyrmex.peperi	1
Pseudomyrmex.satanicus	1
Pseudomyrmex.tenuis	1
Pseudomyrmex.termitarius	1
Rhytidoponera.mayri	0
Solenopsis.geminata	1
Solenopsis.invicta	1
Streblognathus.aethiopicus	0
Strumigenys.lewisi	1
Strumigenys.louisianae	1
Strumigenys.membranifera	0
Strumigenys.rostrata	0
Strumigenys.solifontis	1
Tapinoma.erraticum	1
Tapinoma.melanocephalum	1
Tapinoma.sessile	1
Temnothorax.albipennis	1
Temnothorax.ambiguus	1
Temnothorax.nylanderi	1
Temnothorax.rugatulus	1
Tetramorium.bicarinatum	1
Tetramorium.tsushimae	1
Wasmannia.auropunctata	1
Xenomyrmex.floridanus	1
