417	1
Acanthognathus.ocellatus	R
Acanthognathus.rudis	R
Acanthomyrmex.ferox	R
Acanthomyrmex.notabilis	R
Acromyrmex.balzani	R
Acromyrmex.coronatus	R
Acromyrmex.crassispinus	R
Acromyrmex.fracticornis	R
Acromyrmex.landolti	R
Acromyrmex.octospinosus	R
Acromyrmex.subterraneus	R
Acropyga.epedana	R
Aenictus.laeviceps	R
Amblyopone.australis	R
Aneuretus.simoni	R
Anochetus.bequaerti	S
Anochetus.diegensis	R
Anochetus.faurei	S
Anochetus.katonae	S
Anochetus.kempfi	R
Anochetus.levaillanti	R
Anoplolepis.custodiens	R
Anoplolepis.gracilipes	R
Aphaenogaster.araneoides	R
Aphaenogaster.gibbosa	R
Aphaenogaster.longiceps	R
Aphaenogaster.rudis	R
Aphaenogaster.senilis	R
Aphaenogaster.subterranea	R
Apomyrma.stygia	R
Apterostigma.collare	R
Apterostigma.dentigerum	R
Atopomyrmex.mocquerysi	R
Atta.cephalotes	R
Atta.colombica	R
Atta.laevigata	R
Atta.mexicana	R
Atta.sexdens	R
Atta.texana	R
Atta.vollenweideri	R
Azteca.forelii	R
Basiceros.manni	R
Blepharidatta.conops	R
Brachymyrmex.depilis	R
Brachymyrmex.patagonicus	R
Brachyponera.chinensis	S
Camponotus.aethiops	R
Camponotus.americanus	R
Camponotus.castaneus	R
Camponotus.chromaiodes	R
Camponotus.compressus	R
Camponotus.consobrinus	R
Camponotus.crassus	R
Camponotus.cruentatus	R
Camponotus.dalmaticus	R
Camponotus.fallax	R
Camponotus.fellah	R
Camponotus.floridanus	R
Camponotus.foreli	R
Camponotus.herculeanus	R
Camponotus.japonicus	R
Camponotus.lateralis	R
Camponotus.ligniperda	R
Camponotus.modoc	R
Camponotus.mus	R
Camponotus.nearcticus	R
Camponotus.pennsylvanicus	R
Camponotus.piceus	R
Camponotus.pilicornis	R
Camponotus.planatus	R
Camponotus.punctulatus	R
Camponotus.rectangularis	R
Camponotus.sanctus	R
Camponotus.saxatilis	R
Camponotus.senex	R
Camponotus.sericeus	R
Camponotus.socius	R
Camponotus.vagus	R
Camponotus.vividus	R
Camponotus.yamaokai	R
Cardiocondyla.emeryi	S
Cardiocondyla.koshewnikovi	S
