417	1
Acanthognathus.ocellatus	S
Acanthognathus.rudis	S
Acanthomyrmex.ferox	S
Acanthomyrmex.notabilis	S
Acromyrmex.balzani	M
Acromyrmex.coronatus	L
Acromyrmex.crassispinus	L
Acromyrmex.fracticornis	L
Acromyrmex.landolti	M
Acromyrmex.octospinosus	L
Acromyrmex.subterraneus	M
Acropyga.epedana	S
Aenictus.laeviceps	L
Amblyopone.australis	M
Aneuretus.simoni	S
Anochetus.bequaerti	S
Anochetus.diegensis	S
Anochetus.faurei	M
Anochetus.katonae	S
Anochetus.kempfi	S
Anochetus.levaillanti	S
Anoplolepis.custodiens	L
Anoplolepis.gracilipes	L
Aphaenogaster.araneoides	S
Aphaenogaster.gibbosa	M
Aphaenogaster.longiceps	L
Aphaenogaster.rudis	M
Aphaenogaster.senilis	M
Aphaenogaster.subterranea	M
Apomyrma.stygia	S
Apterostigma.collare	S
Apterostigma.dentigerum	S
Atopomyrmex.mocquerysi	L
Atta.cephalotes	L
Atta.colombica	L
Atta.laevigata	L
Atta.mexicana	L
Atta.sexdens	L
Atta.texana	L
Atta.vollenweideri	L
Azteca.forelii	L
Basiceros.manni	S
Blepharidatta.conops	S
Brachymyrmex.depilis	S
Brachymyrmex.patagonicus	M
Brachyponera.chinensis	L
Camponotus.aethiops	M
Camponotus.americanus	M
Camponotus.castaneus	M
Camponotus.chromaiodes	M
Camponotus.compressus	L
Camponotus.consobrinus	L
Camponotus.crassus	M
Camponotus.cruentatus	L
Camponotus.dalmaticus	S
Camponotus.fallax	M
Camponotus.fellah	L
Camponotus.floridanus	L
Camponotus.foreli	S
Camponotus.herculeanus	L
Camponotus.japonicus	M
Camponotus.lateralis	M
Camponotus.ligniperda	L
Camponotus.modoc	L
Camponotus.mus	M
Camponotus.nearcticus	M
Camponotus.pennsylvanicus	M
Camponotus.piceus	M
Camponotus.pilicornis	M
Camponotus.planatus	M
Camponotus.punctulatus	L
Camponotus.rectangularis	L
Camponotus.sanctus	L
Camponotus.saxatilis	M
Camponotus.senex	L
Camponotus.sericeus	S
Camponotus.socius	M
Camponotus.vagus	L
Camponotus.vividus	L
Camponotus.yamaokai	S
Cardiocondyla.emeryi	S
Cardiocondyla.koshewnikovi	S
Cardiocondyla.mauritanica	M
Cardiocondyla.nuda	S
Cardiocondyla.obscurior	M
Carebara.diversa	L
Carebara.overbecki	M
Carebara.perpusilla	M
Cataglyphis.aenescens	M
Cataglyphis.bicolor	M
Cataglyphis.bombycina	M
Cataglyphis.cursor	M
Cataglyphis.iberica	M
Cataglyphis.nigra	M
Cataglyphis.rosenhaueri	M
Cataglyphis.velox	M
Cataulacus.muticus	M
Centromyrmex.sellaris	M
Cephalotes.atratus	L
Cephalotes.goniodontus	M
Cephalotes.pusillus	M
Cephalotes.texanus	S
Cephalotes.varians	M
Cerapachys.sulcinodis	M
Crematogaster.ashmeadi	L
Crematogaster.auberti	M
Crematogaster.cerasi	M
Crematogaster.minutissima	S
Crematogaster.rogenhoferi	M
Crematogaster.scutellaris	M
Crematogaster.sordidula	M
Cryptopone.gilva	S
Cryptopone.motschulskyi	S
Cryptopone.sauteri	S
Cyphomyrmex.rimosus	M
Daceton.armigerum	L
Diacamma.rugosum	S
Dinoponera.gigantea	S
Dinoponera.grandis	S
Dinoponera.quadriceps	S
Discothyrea.kamiteta	S
Discothyrea.sauteri	S
Dolichoderus.attelaboides	M
Dolichoderus.mariae	L
Dolichoderus.quadripunctatus	M
Dolichoderus.thoracicus	L
Dorylus.laevigatus	L
Dorylus.wilverthi	L
Dorymyrmex.bureni	M
Eciton.burchellii	L
Eciton.hamatum	L
Eciton.mexicanum	L
Eciton.rapax	L
Eciton.vagans	L
Ectatomma.brunneum	M
Ectatomma.edentatum	M
Ectatomma.ruidum	S
Ectatomma.tuberculatum	M
Eurhopalothrix.biroi	S
Eurhopalothrix.heliscata	M
Forelius.damiani	S
Forelius.pruinosus	L
Formica.aquilonia	L
Formica.archboldi	M
Formica.bruni	M
Formica.cinerea	L
Formica.clara	M
Formica.cunicularia	M
Formica.exsecta	L
Formica.exsectoides	L
Formica.fusca	M
Formica.glacialis	L
Formica.incerta	M
Formica.japonica	L
Formica.lemani	M
Formica.lugubris	L
Formica.obscuripes	L
Formica.pallidefulva	M
Formica.paralugubris	L
Formica.picea	M
Formica.podzolica	L
Formica.polyctena	L
Formica.pratensis	L
Formica.rufa	L
Formica.rufibarbis	M
Formica.sanguinea	L
Formica.subintegra	L
Formica.subsericea	L
Formica.truncorum	L
Formica.yessensis	L
Formicoxenus.provancheri	S
Gnamptogenys.bicolor	M
Gnamptogenys.menadensis	S
Gnamptogenys.striatula	M
Harpegnathos.saltator	S
Hypoponera.eduardi	M
Iridomyrmex.purpureus	L
Labidus.coecus	L
Labidus.praedator	L
Lasius.alienus	L
Lasius.brunneus	L
Lasius.carniolicus	S
Lasius.emarginatus	L
Lasius.flavus	L
Lasius.fuliginosus	L
Lasius.grandis	L
Lasius.jensi	L
Lasius.meridionalis	L
Lasius.myops	L
Lasius.neglectus	L
Lasius.neoniger	L
Lasius.niger	L
Lasius.paralienus	L
Lasius.platythorax	L
Lasius.psammophilus	L
Lasius.reginae	L
Lasius.umbratus	L
Leptanilla.japonica	S
Leptogenys.peuqueti	S
Leptogenys.schwabi	S
Leptomyrmex.erythrocephalus	M
Leptomyrmex.fragilis	M
Leptomyrmex.nigriventris	M
Leptomyrmex.unicolor	M
Leptothorax.acervorum	S
Leptothorax.muscorum	M
Linepithema.humile	L
Liometopum.apiculatum	L
Liometopum.occidentale	L
Manica.rubida	L
Megaponera.analis	M
Melophorus.bagoti	M
Meranoplus.mucronatus	L
Mesoponera.caffraria	S
Messor.aciculatus	L
Messor.aegyptiacus	L
Messor.arenarius	L
Messor.barbarus	L
Messor.bouvieri	L
Messor.capitatus	L
