417	1
Acanthognathus.ocellatus	S
Acanthognathus.rudis	S
Acanthomyrmex.ferox	S
Acanthomyrmex.notabilis	S
Acromyrmex.balzani	N
Acromyrmex.coronatus	N
Acromyrmex.crassispinus	N
Acromyrmex.fracticornis	N
Acromyrmex.landolti	N
Acromyrmex.octospinosus	N
Acromyrmex.subterraneus	N
Acropyga.epedana	N
Aenictus.laeviceps	S
Amblyopone.australis	S
Aneuretus.simoni	S
Anochetus.bequaerti	S
Anochetus.diegensis	S
Anochetus.faurei	S
Anochetus.katonae	S
Anochetus.kempfi	S
Anochetus.levaillanti	S
Anoplolepis.custodiens	N
Anoplolepis.gracilipes	N
Aphaenogaster.araneoides	N
Aphaenogaster.gibbosa	N
Aphaenogaster.longiceps	N
Aphaenogaster.rudis	N
Aphaenogaster.senilis	N
Aphaenogaster.subterranea	N
Apomyrma.stygia	S
Apterostigma.collare	N
Apterostigma.dentigerum	N
Atopomyrmex.mocquerysi	S
Atta.cephalotes	N
Atta.colombica	N
Atta.laevigata	N
Atta.mexicana	N
Atta.sexdens	N
Atta.texana	N
Atta.vollenweideri	N
Azteca.forelii	N
Basiceros.manni	S
Blepharidatta.conops	S
Brachymyrmex.depilis	N
Brachymyrmex.patagonicus	N
Brachyponera.chinensis	S
Camponotus.aethiops	N
Camponotus.americanus	N
Camponotus.castaneus	N
Camponotus.chromaiodes	N
Camponotus.compressus	N
Camponotus.consobrinus	N
Camponotus.crassus	N
Camponotus.cruentatus	N
Camponotus.dalmaticus	N
Camponotus.fallax	N
Camponotus.fellah	N
Camponotus.floridanus	N
Camponotus.foreli	N
Camponotus.herculeanus	N
Camponotus.japonicus	N
Camponotus.lateralis	N
Camponotus.ligniperda	N
Camponotus.modoc	N
Camponotus.mus	N
Camponotus.nearcticus	N
Camponotus.pennsylvanicus	N
Camponotus.piceus	N
Camponotus.pilicornis	N
Camponotus.planatus	N
Camponotus.punctulatus	N
Camponotus.rectangularis	N
Camponotus.sanctus	N
Camponotus.saxatilis	N
Camponotus.senex	N
Camponotus.sericeus	N
Camponotus.socius	N
Camponotus.vagus	N
Camponotus.vividus	N
Camponotus.yamaokai	N
Cardiocondyla.emeryi	S
Cardiocondyla.koshewnikovi	S
Cardiocondyla.mauritanica	S
Cardiocondyla.nuda	S
Cardiocondyla.obscurior	S
Carebara.diversa	S
Carebara.overbecki	S
Carebara.perpusilla	S
Cataglyphis.aenescens	N
Cataglyphis.bicolor	N
Cataglyphis.bombycina	N
Cataglyphis.cursor	N
Cataglyphis.iberica	N
Cataglyphis.nigra	N
Cataglyphis.rosenhaueri	N
Cataglyphis.velox	N
Cataulacus.muticus	N
Centromyrmex.sellaris	S
Cephalotes.atratus	N
Cephalotes.goniodontus	N
Cephalotes.pusillus	N
Cephalotes.texanus	N
Cephalotes.varians	N
Cerapachys.sulcinodis	S
Crematogaster.ashmeadi	N
Crematogaster.auberti	N
Crematogaster.cerasi	N
Crematogaster.minutissima	N
Crematogaster.rogenhoferi	N
Crematogaster.scutellaris	N
Crematogaster.sordidula	N
Cryptopone.gilva	S
Cryptopone.motschulskyi	S
Cryptopone.sauteri	S
Cyphomyrmex.rimosus	N
Daceton.armigerum	S
Diacamma.rugosum	S
Dinoponera.gigantea	S
Dinoponera.grandis	S
Dinoponera.quadriceps	S
Discothyrea.kamiteta	S
Discothyrea.sauteri	S
Dolichoderus.attelaboides	N
Dolichoderus.mariae	N
Dolichoderus.quadripunctatus	N
Dolichoderus.thoracicus	N
Dorylus.laevigatus	S
Dorylus.wilverthi	S
Dorymyrmex.bureni	N
Eciton.burchellii	S
Eciton.hamatum	S
Eciton.mexicanum	S
Eciton.rapax	S
Eciton.vagans	S
Ectatomma.brunneum	S
Ectatomma.edentatum	S
Ectatomma.ruidum	S
Ectatomma.tuberculatum	S
Eurhopalothrix.biroi	S
Eurhopalothrix.heliscata	S
Forelius.damiani	N
Forelius.pruinosus	N
Formica.aquilonia	N
Formica.archboldi	N
Formica.bruni	N
Formica.cinerea	N
Formica.clara	N
Formica.cunicularia	N
Formica.exsecta	N
Formica.exsectoides	N
Formica.fusca	N
Formica.glacialis	N
Formica.incerta	N
Formica.japonica	N
Formica.lemani	N
Formica.lugubris	N
Formica.obscuripes	N
Formica.pallidefulva	N
Formica.paralugubris	N
Formica.picea	N
Formica.podzolica	N
Formica.polyctena	N
Formica.pratensis	N
Formica.rufa	N
Formica.rufibarbis	N
Formica.sanguinea	N
Formica.subintegra	N
Formica.subsericea	N
Formica.truncorum	N
Formica.yessensis	N
Formicoxenus.provancheri	S
Gnamptogenys.bicolor	S
Gnamptogenys.menadensis	S
Gnamptogenys.striatula	S
Harpegnathos.saltator	S
Hypoponera.eduardi	S
Iridomyrmex.purpureus	N
Labidus.coecus	S
Labidus.praedator	S
Lasius.alienus	N
Lasius.brunneus	N
Lasius.carniolicus	N
Lasius.emarginatus	N
Lasius.flavus	N
Lasius.fuliginosus	N
Lasius.grandis	N
Lasius.jensi	N
Lasius.meridionalis	N
Lasius.myops	N
Lasius.neglectus	N
Lasius.neoniger	N
Lasius.niger	N
Lasius.paralienus	N
Lasius.platythorax	N
Lasius.psammophilus	N
Lasius.reginae	N
Lasius.umbratus	N
Leptanilla.japonica	S
Leptogenys.peuqueti	S
Leptogenys.schwabi	S
Leptomyrmex.erythrocephalus	N
Leptomyrmex.fragilis	N
Leptomyrmex.nigriventris	N
Leptomyrmex.unicolor	N
Leptothorax.acervorum	S
Leptothorax.muscorum	S
Linepithema.humile	N
Liometopum.apiculatum	N
Liometopum.occidentale	N
Manica.rubida	S
Megaponera.analis	S
Melophorus.bagoti	N
Meranoplus.mucronatus	S
Mesoponera.caffraria	S
Messor.aciculatus	N
Messor.aegyptiacus	N
Messor.arenarius	N
Messor.barbarus	N
Messor.bouvieri	N
Messor.capitatus	N
