generation,rank_1,rank_2,swapAccepted
1000,3,4,1
2000,2,4,0
3000,2,3,0
4000,1,2,1
5000,2,3,0
6000,1,3,0
7000,1,3,1
8000,2,3,0
9000,1,2,1
10000,2,3,1
11000,3,4,0
12000,2,3,1
13000,1,2,0
14000,2,4,1
15000,1,2,0
16000,2,4,1
17000,1,3,0
18000,1,2,0
19000,1,4,0
20000,2,3,1
21000,1,2,1
22000,2,4,0
23000,1,4,1
24000,2,3,0
25000,1,3,1
26000,1,2,1
27000,1,3,1
28000,1,3,1
29000,1,4,1
30000,1,2,0
31000,2,4,1
32000,1,4,1
33000,2,4,0
34000,1,2,1
35000,1,2,1
36000,3,4,1
37000,1,3,1
38000,3,4,1
39000,3,4,1
40000,1,2,1
41000,3,4,0
42000,1,4,0
43000,1,2,1
44000,1,3,1
45000,1,4,0
46000,1,4,1
47000,1,3,1
48000,3,4,1
49000,1,3,0
50000,2,3,1
51000,2,4,1
52000,2,4,1
53000,2,3,1
54000,1,2,1
55000,3,4,1
56000,1,3,0
57000,2,4,1
58000,1,4,0
59000,3,4,0
60000,1,3,0
61000,2,3,1
62000,3,4,1
63000,3,4,1
64000,2,4,1
65000,1,2,0
66000,2,4,0
67000,1,2,1
68000,2,3,0
69000,2,4,1
70000,3,4,1
71000,1,2,1
72000,2,3,1
73000,3,4,1
74000,2,3,1
75000,1,2,1
76000,2,4,1
77000,3,4,1
78000,1,4,1
79000,3,4,1
80000,1,2,1
81000,1,4,1
82000,2,3,1
83000,2,4,1
84000,1,2,1
85000,2,4,0
86000,1,3,1
87000,1,3,1
88000,1,3,1
89000,3,4,1
90000,3,4,1
91000,3,4,1
92000,2,3,1
93000,1,2,1
94000,2,4,1
95000,1,3,1
96000,1,4,1
97000,2,4,1
98000,3,4,1
99000,1,3,1
100000,3,4,1
101000,3,4,1
102000,1,2,1
103000,2,4,1
104000,1,4,1
105000,3,4,1
106000,1,2,1
107000,2,4,1
108000,2,3,1
109000,1,4,1
110000,2,4,1
111000,1,2,1
112000,2,3,1
113000,3,4,1
114000,2,4,1
115000,3,4,1
116000,1,4,1
117000,2,4,1
118000,2,3,1
119000,2,4,0
120000,1,4,0
121000,2,3,1
122000,2,4,1
123000,2,4,1
124000,3,4,1
125000,1,4,1
126000,1,3,1
127000,2,4,1
128000,1,4,1
129000,2,3,1
130000,2,3,0
131000,1,3,0
132000,2,3,1
133000,2,4,0
134000,1,4,1
135000,1,4,1
136000,2,4,1
137000,1,3,1
138000,2,4,1
139000,1,4,0
140000,1,2,1
141000,2,3,1
142000,2,4,0
143000,1,4,1
144000,2,4,0
145000,1,2,1
146000,3,4,1
147000,3,4,1
148000,1,2,1
149000,3,4,0
150000,2,4,1
151000,2,4,1
152000,1,2,1
153000,2,4,0
154000,2,3,1
155000,1,4,0
156000,2,3,1
157000,2,4,1
158000,2,3,1
159000,2,3,1
160000,1,2,1
161000,3,4,0
162000,3,4,0
163000,1,2,1
164000,3,4,1
165000,3,4,1
166000,1,4,1
167000,1,4,1
168000,2,4,1
169000,1,4,1
170000,1,3,1
171000,3,4,1
172000,2,4,1
173000,2,4,0
174000,1,2,1
175000,1,2,1
176000,2,4,1
177000,2,3,1
178000,2,3,0
179000,1,3,0
180000,2,4,0
181000,1,3,0
182000,2,3,1
183000,1,3,1
184000,1,3,1
185000,1,2,0
186000,1,4,1
187000,1,4,1
188000,3,4,1
189000,3,4,1
190000,1,3,1
191000,3,4,1
192000,3,4,1
193000,2,3,1
194000,2,4,1
195000,2,4,1
196000,1,2,1
197000,2,4,1
198000,1,4,1
199000,3,4,1
200000,2,4,1
201000,2,3,1
202000,2,4,0
203000,3,4,1
204000,2,3,1
205000,1,3,1
206000,2,4,1
207000,2,4,1
208000,2,3,1
209000,1,3,0
210000,2,3,0
211000,1,4,0
212000,2,4,1
213000,3,4,1
214000,3,4,1
215000,1,4,1
216000,2,3,1
217000,1,2,1
218000,1,4,1
219000,1,2,1
220000,1,4,1
