generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,5.47415,-2456.84,1,0
1000,0,5.82178,-2079.47,0.182075,0.395604
2000,2,14.4517,-2062.16,1.05554,0.441
3000,4,20.4918,-1967.29,1.15635,0.451
4000,5,18.1435,-1950.05,3.49222,0.413147
5000,5,18.9355,-1948.01,3.40762,0.4058
6000,5,19.1211,-1945.6,2.94189,0.359
7000,4,18.0189,-1955.26,4.37876,0.389
8000,6,30.1363,-1955.09,2.11054,0.386
9000,5,23.6756,-1956.66,3.03734,0.378333
10000,6,27.9609,-1949.78,4.17736,0.422
11000,4,20.655,-1945.69,2.38882,0.417
12000,4,19.8409,-1947.93,2.75884,0.331
13000,5,21.7064,-1944.21,3.74667,0.326
14000,6,31.0996,-1942.07,3.02879,0.3768
15000,7,34.903,-1935.5,3.42011,0.381
16000,11,44.9012,-1934.21,8.44511,0.384
17000,8,32.7622,-1930.78,5.35446,0.429
18000,6,29.5455,-1946.99,2.4231,0.3584
19000,8,40.9081,-1924.99,4.06463,0.4445
20000,8,38.5731,-1914.16,3.61643,0.377
21000,10,41.8082,-1918.89,5.37828,0.383
22000,11,51.921,-1907.25,4.17201,0.395
23000,14,66.5262,-1902.83,6.91871,0.401
24000,14,66.6858,-1895.85,8.38361,0.407
25000,15,68.3586,-1890.31,8.91248,0.397
26000,15,69.8794,-1896.66,8.42929,0.412
27000,13,65.1641,-1895.54,6.9313,0.41
28000,7,32.4906,-1923.97,5.52178,0.397986
29000,7,34.3357,-1916.82,2.59091,0.372
30000,8,38.4775,-1925.13,2.79213,0.402
31000,4,21.7289,-1935.26,1.46313,0.341308
32000,7,29.6026,-1924.63,3.2579,0.373
33000,9,34.5451,-1914.31,6.82623,0.341
34000,13,63.5643,-1910.34,9.20201,0.388857
35000,11,37.371,-1893.73,5.52176,0.376682
36000,15,64.3276,-1893.62,8.50319,0.3795
37000,15,71.0293,-1896.64,8.18332,0.385
38000,13,59.1843,-1891.72,6.9636,0.39
39000,12,50.1773,-1891.62,7.84832,0.382
40000,13,66.5077,-1901.42,4.33314,0.433
41000,13,56.0449,-1898.89,7.24227,0.407
42000,11,50.7476,-1897.46,4.85624,0.368
43000,15,57.395,-1889.94,12.6761,0.3795
44000,11,47.5883,-1865.22,3.76681,0.351111
45000,12,53.1258,-1874.98,5.66623,0.329
46000,15,60.6813,-1896.4,7.93222,0.363333
47000,12,48.941,-1892.94,4.2735,0.338
48000,10,40.4177,-1873.42,6.62294,0.366333
49000,10,47.0623,-1879.71,2.97794,0.34
50000,12,52.8451,-1897.59,4.52653,0.320667
51000,12,49.4534,-1897.46,4.91816,0.328
52000,9,36.0285,-1905.39,5.4549,0.3586
53000,11,44.4291,-1897.61,6.78034,0.349
54000,10,45.3134,-1902.36,4.77823,0.348
55000,9,40.0373,-1908.74,5.38642,0.39125
56000,11,45.9887,-1905.24,5.77077,0.365
57000,12,50.19,-1899.57,8.30407,0.395
58000,12,48.3445,-1893.65,7.38514,0.363
59000,11,55.0194,-1869.79,7.8438,0.3638
60000,12,60.58,-1877.23,4.53905,0.375
61000,11,53.7193,-1876.77,4.84883,0.39
62000,13,60.6823,-1883.72,6.54982,0.353
63000,12,54.7506,-1874.63,8.49113,0.374
64000,11,46.8369,-1876.15,7.56474,0.359
65000,14,56.5335,-1884.49,6.14916,0.365286
66000,15,58.4304,-1882.19,8.02295,0.351
67000,15,59.0216,-1882.98,7.22295,0.373
68000,8,36.0374,-1884.7,6.44755,0.3705
69000,10,46.0215,-1884.96,6.54078,0.381
70000,13,53.5452,-1884.22,8.87012,0.401
71000,11,45.287,-1879.51,6.20784,0.351
72000,15,62.3625,-1878.02,8.04596,0.357
73000,11,43.709,-1876.13,7.02274,0.375
74000,11,45.9879,-1868.35,5.10476,0.322
75000,12,53.4768,-1863.93,4.27889,0.385
76000,13,60.0337,-1861.41,4.3337,0.37
77000,15,64.6251,-1859.54,9.51638,0.361
78000,15,67.1078,-1859,9.822,0.346
79000,12,58.7995,-1864.47,4.48515,0.343
80000,14,61.3623,-1859.49,5.78861,0.379
81000,12,63.7258,-1881.94,5.126,0.373929
82000,13,64.8142,-1888.19,7.01842,0.368
83000,12,58.0487,-1889.39,5.69016,0.4
84000,11,48.4216,-1892.31,5.67643,0.38
85000,12,52.1998,-1888.63,9.73187,0.368
86000,14,67.1896,-1882.97,11.4546,0.416
87000,13,61.9918,-1885.61,7.61404,0.41
88000,14,71.017,-1898.85,5.71974,0.372
89000,12,60.451,-1889.26,6.50097,0.403
90000,12,56.6012,-1853.36,5.85362,0.3848
91000,12,55.3684,-1860.78,4.53238,0.372
92000,9,41.7584,-1891.71,7.1097,0.386132
93000,9,41.963,-1890.92,6.82261,0.365
94000,9,45.0658,-1892.78,5.63679,0.367
95000,13,60.4167,-1861.13,6.49017,0.353
96000,10,46.2295,-1878.45,5.9928,0.376
97000,11,51.6706,-1858.71,4.91543,0.371
98000,13,52.5384,-1860.41,7.59215,0.344
99000,10,53.6794,-1886,2.94059,0.392667
100000,9,47.4651,-1878.07,2.04613,0.395
101000,10,50.5272,-1885.04,5.34815,0.383
102000,9,42.6926,-1882.61,7.52718,0.407
103000,12,52.7136,-1883.31,6.24093,0.364786
104000,13,59.0591,-1897.3,8.86702,0.382612
105000,10,49.1981,-1886.17,3.29763,0.355
106000,8,41.9984,-1878.66,4.70671,0.3995
107000,11,45.2072,-1875.68,7.56235,0.362444
108000,13,59.9641,-1868.43,5.32282,0.422
109000,14,63.1154,-1870.35,5.6054,0.412
110000,11,47.7146,-1866.52,6.53017,0.393
111000,13,61.9937,-1866.91,5.71606,0.397
112000,13,59.1697,-1869.02,8.76728,0.429
113000,12,49.7733,-1861.52,7.84477,0.415
114000,9,40.5797,-1887.59,9.73832,0.3595
115000,9,43.34,-1881.04,5.05365,0.362
116000,11,46.7191,-1861.15,6.18493,0.382
117000,12,47.2129,-1866.31,11.1953,0.382
118000,11,45.8985,-1889.58,9.81681,0.362929
119000,11,50.9505,-1890.82,5.7438,0.356
120000,11,54.1656,-1888.81,4.9487,0.409
121000,12,61.7797,-1889.83,8.12058,0.37
122000,12,70.3745,-1889.71,4.33293,0.39
123000,11,61.3228,-1888.34,3.7886,0.408
124000,7,37.2137,-1893.3,5.21525,0.378444
125000,10,43.8708,-1874.3,8.86295,0.379875
126000,12,55.4339,-1877.65,5.46623,0.388
127000,11,54.3174,-1874.27,4.72265,0.379
128000,13,63.322,-1892.8,5.88176,0.3798
129000,11,51.1737,-1874.32,8.2694,0.3855
130000,11,51.1099,-1877.62,9.50715,0.369
131000,11,49.6898,-1873.03,3.12341,0.392
132000,12,50.584,-1877.62,6.13354,0.368
