species troph
Crematogaster.rogenhoferi 1
Crematogaster.sordidula 1
Crematogaster.cerasi 1
Cardiocondyla.nuda 1
Cardiocondyla.emeryi 1
Cardiocondyla.mauritanica 1
Ocymyrmex.foreli 1
Nesomyrmex.spininodis 1
Tetramorium.semilaeve 1
Temnothorax.crassispinus 1
Leptothorax.acervorum 1
Pheidole.megacephala 1
Pheidole.dentata 1
Pheidole.pallidula 1
Cephalotes.texanus 1
Strumigenys.louisianae 1
Strumigenys.hexamera 0
Eurhopalothrix.biroi 0
Acromyrmex.landolti 1
Acromyrmex.crassispinus 0
Atta.mexicana 1
Atta.cephalotes 0
Acromyrmex.subterraneus 1
Apterostigma.dentigerum 1
Myrmicocrypta.ednaella 0
Daceton.armigerum 1
Acanthognathus.ocellatus 0
Acanthognathus.rudis 0
Solenopsis.picta 1
Myrmicaria.natalensis.eumenoides 1
Aphaenogaster.araneoides 0
Messor.ebeninus 1
Messor.aegyptiacus 1
Aphaenogaster.gibbosa 0
Pogonomyrmex.subnitidus 1
Pogonomyrmex.badius 0
Myrmica.curvithorax 0
Myrmica.punctiventris 0
Myrmica.rugulosa 0
Myrmica.rubra 1
Rhytidoponera.chalybaea 0
Ectatomma.edentatum 1
Camponotus.modoc 1
Camponotus.vividus 1
Camponotus.punctulatus 1
Camponotus.lateralis 1
Camponotus.aethiops 1
Camponotus.rectangularis 1
Camponotus.vagus 1
Camponotus.sanctus 1
Camponotus.fallax 1
Camponotus.yamaokai 1
Polyrhachis.loweryi 1
Polyrhachis.dives 1
Polyrhachis.laboriosa 1
Formica.glacialis 1
Formica.rufibarbis 1
Formica.podzolica 1
Formica.exsectoides 1
Formica.exsecta 1
Cataglyphis.rosenhaueri 1
Cataglyphis.cursor 1
Cataglyphis.iberica 1
Proformica.epinotalis 1
Anoplolepis.custodiens 1
Prenolepis.nitens 1
Lasius.myops 1
Lasius.carniolicus 1
Brachymyrmex.patagonicus 1
Brachymyrmex.depilis 1
Azteca.forelii 1
Forelius.pruinosus 1
Tapinoma.erraticum 1
Tapinoma.minutum 1
Pseudomyrmex.spinicola 1
Eciton.burchellii 1
Labidus.coecus 1
Dorylus.wilverthi 1
Cerapachys.sulcinodis 0
Odontomachus.affinis 1
Anochetus.kempfi 1
Odontomachus.opaciventris 1
Odontomachus.bauri 1
Anochetus.levaillanti 0
Odontomachus.brunneus 1
Odontomachus.troglodytes 1
Ponera.coarctata 1
Cryptopone.gilva 1
Neoponera.verenae 1
Neoponera.commutata 1
Dinoponera.grandis 2
Harpegnathos.saltator 0
Platythyrea.modesta 0
Onychomyrmex.hedleyi 0
Proceratium.silaceum 0
Proceratium.pergandei 0
Proceratium.croceum 0
Discothyrea.kamiteta 0
Probolomyrmex.longinodus 0
Leptanilla.japonica 0
