326 1
Acanthognathus.ocellatus {N:0.87,T:0.13}
Acanthognathus.rudis {N:0.9,T:0.1}
Acanthomyrmex.ferox T
Acanthomyrmex.notabilis T
Acromyrmex.balzani T
Acromyrmex.coronatus {N:0.02,T:0.98}
Acromyrmex.crassispinus N
Acromyrmex.fracticornis {N:0.02,T:0.98}
Acromyrmex.landolti {N:0.02,T:0.98}
Acromyrmex.octospinosus T
Acromyrmex.subterraneus T
Acropyga.epedana {N:0,T:1}
Aneuretus.simoni T
Anoplolepis.custodiens {N:0,T:1}
Anoplolepis.gracilipes T
Aphaenogaster.araneoides {N:1,T:0}
Aphaenogaster.gibbosa N
Aphaenogaster.longiceps {N:0.59,T:0.41}
Aphaenogaster.rudis {N:0.78,T:0.22}
Aphaenogaster.senilis N
Aphaenogaster.subterranea N
Apterostigma.collare {N:0.84,T:0.16}
Apterostigma.dentigerum {N:0.84,T:0.16}
Atopomyrmex.mocquerysi T
Atta.cephalotes N
Atta.colombica {N:0.03,T:0.97}
Atta.laevigata T
Atta.mexicana {N:0.01,T:0.99}
Atta.sexdens N
Atta.texana T
Atta.vollenweideri {N:0.01,T:0.99}
Azteca.forelii {N:0,T:1}
Basiceros.manni N
Blepharidatta.conops {N:0.02,T:0.98}
Brachymyrmex.depilis {N:0,T:1}
Brachymyrmex.patagonicus T
Camponotus.aethiops T
Camponotus.americanus {N:0,T:1}
Camponotus.castaneus {N:0,T:1}
Camponotus.chromaiodes {N:0,T:1}
Camponotus.compressus {N:0,T:1}
Camponotus.consobrinus {N:0,T:1}
Camponotus.crassus {N:0,T:1}
Camponotus.cruentatus T
Camponotus.dalmaticus {N:0,T:1}
Camponotus.fallax {N:0,T:1}
Camponotus.fellah T
Camponotus.floridanus T
Camponotus.foreli {N:0,T:1}
Camponotus.herculeanus T
Camponotus.japonicus T
Camponotus.lateralis {N:0,T:1}
Camponotus.ligniperda T
Camponotus.modoc {N:0,T:1}
Camponotus.mus T
Camponotus.nearcticus {N:0,T:1}
Camponotus.pennsylvanicus T
Camponotus.piceus {N:0,T:1}
Camponotus.pilicornis T
Camponotus.planatus {N:0,T:1}
Camponotus.punctulatus {N:0,T:1}
Camponotus.rectangularis {N:0,T:1}
Camponotus.sanctus T
Camponotus.saxatilis {N:0,T:1}
Camponotus.senex {N:0,T:1}
Camponotus.sericeus {N:0,T:1}
Camponotus.socius {N:0,T:1}
Camponotus.vagus T
Camponotus.vividus {N:0,T:1}
Camponotus.yamaokai T
Cardiocondyla.emeryi T
Cardiocondyla.koshewnikovi T
Cardiocondyla.mauritanica T
Cardiocondyla.nuda T
Cardiocondyla.obscurior T
Carebara.diversa T
Carebara.overbecki T
Carebara.perpusilla T
Cataglyphis.aenescens {N:0,T:1}
Cataglyphis.bicolor T
Cataglyphis.bombycina T
Cataglyphis.cursor T
Cataglyphis.iberica T
Cataglyphis.nigra T
Cataglyphis.rosenhaueri T
Cataglyphis.velox T
Cataulacus.muticus T
Cephalotes.atratus T
Cephalotes.goniodontus T
Cephalotes.pusillus T
Cephalotes.texanus {N:0.09,T:0.91}
Cephalotes.varians {N:0.01,T:0.99}
Crematogaster.ashmeadi T
Crematogaster.auberti {N:0.1,T:0.9}
Crematogaster.cerasi {N:0.05,T:0.95}
Crematogaster.minutissima {N:0.83,T:0.17}
Crematogaster.rogenhoferi {N:0,T:1}
Crematogaster.scutellaris {N:0.11,T:0.89}
Crematogaster.sordidula {N:0.11,T:0.89}
Cyphomyrmex.rimosus T
Daceton.armigerum T
Dolichoderus.attelaboides {N:0,T:1}
Dolichoderus.mariae {N:0,T:1}
Dolichoderus.quadripunctatus {N:0,T:1}
Dolichoderus.thoracicus T
Dorymyrmex.bureni {N:0,T:1}
Ectatomma.brunneum {N:1,T:0}
Ectatomma.edentatum {N:1,T:0}
Ectatomma.ruidum N
Ectatomma.tuberculatum N
Eurhopalothrix.biroi N
Eurhopalothrix.heliscata N
Forelius.damiani T
Forelius.pruinosus {N:0,T:1}
Formica.aquilonia {N:0,T:1}
Formica.archboldi {N:0,T:1}
Formica.bruni T
Formica.cinerea T
Formica.clara T
Formica.cunicularia T
Formica.exsecta T
Formica.exsectoides {N:0,T:1}
Formica.fusca T
Formica.glacialis T
Formica.incerta {N:0,T:1}
Formica.japonica T
Formica.lemani T
Formica.lugubris T
Formica.obscuripes T
Formica.pallidefulva {N:0,T:1}
Formica.paralugubris T
Formica.picea {N:0,T:1}
Formica.podzolica {N:0,T:1}
Formica.polyctena T
Formica.pratensis T
Formica.rufa T
Formica.rufibarbis T
Formica.sanguinea T
Formica.subintegra T
Formica.subsericea {N:0,T:1}
Formica.truncorum T
Formica.yessensis T
Formicoxenus.provancheri T
Gnamptogenys.bicolor N
