it	posterior	likelihood	prior	accuracy	test_accuracy	acc_C0	acc_C1	acc_C2	acc_C3	acc_C4	mean_w0	std_w0	mean_w1	std_w1	mean_w2	std_w2	acc_prob	mcmc_id
10	-4264.580336297253	-3622.0448705421422	-642.535465755111	0.20044444444444445	0.196	0.0	1.0	0.0	0.0	0.0	0.0010044936568069749	0.10410944992974061	-0.025931083153228663	0.1275551517179368	0.02212445092032432	0.1111536121161536	1.0	0
20	-4265.417363955483	-3622.296946417583	-643.1204175379002	0.20044444444444445	0.196	0.0	1.0	0.0	0.0	0.0	0.0020485121048808156	0.11130954165779845	-0.01446903310449815	0.1489640045215732	0.023163707406673697	0.11662186956774817	0.9047619047619048	0
30	-4266.19991473349	-3622.353793673049	-643.8461210604413	0.20044444444444445	0.196	0.0	1.0	0.0	0.0	0.0	0.0013266318322568366	0.12019346279576758	-0.0013820484516602737	0.15970320553889858	0.025190459745782563	0.12437877391800513	0.9032258064516129	0
40	-4266.548336829391	-3622.3401869602144	-644.2081498691767	0.2	0.196	0.0	0.9977827050997783	0.0	0.0	0.0	0.004153040877036156	0.12455849947824171	-0.004718821216616178	0.1612312805441761	0.021400692817153174	0.12741413326451898	0.9024390243902439	0
50	-4267.546138537848	-3622.809869276707	-644.73626926114	0.06088888888888889	0.096	0.140625	0.164079822616408	0.0	0.0	0.0	0.0030632801092040584	0.13014028936598057	-0.005104135321679697	0.1701641514357435	0.025354901765643475	0.1364773077442075	0.9215686274509803	0
60	-4267.903114515003	-3622.7254091382993	-645.1777053767037	0.164	0.184	0.8214285714285714	0.0022172949002217295	0.0	0.0	0.0	0.004041456653991054	0.13511226099191337	-0.0035329625925072006	0.17717971208280203	0.018791542883465986	0.1343214438581688	0.9180327868852459	0
70	-4268.240868146536	-3622.7437217293027	-645.4971464172334	0.1991111111111111	0.208	1.0	0.0	0.0	0.0	0.0	0.004285843059733456	0.13770821040088033	0.002098617795410127	0.1912388334327938	0.027838747472038395	0.13947948832279708	0.9154929577464789	0
80	-4268.386180417285	-3622.5844801262856	-645.8017002909991	0.1991111111111111	0.208	1.0	0.0	0.0	0.0	0.0	0.0035852499881159406	0.14108732082637093	-0.0004182342827308183	0.19005493090082942	0.024609778891244955	0.1425731140056335	0.9259259259259259	0
90	-4268.306427737389	-3622.207604107987	-646.0988236294015	0.1991111111111111	0.208	1.0	0.0	0.0	0.0	0.0	0.00350612842339589	0.14398052929488275	-0.0023006757262888145	0.18522514063665646	0.017217538103823486	0.1561017582972546	0.9340659340659341	0
100	-4269.778340113934	-3623.4270055049974	-646.3513346089368	0.20222222222222222	0.18	0.0	0.0	0.0	1.0	0.0	0.002629924203867327	0.14706600982131524	-0.01395404723565624	0.17953045171683704	0.019172370879443422	0.15382061506125125	0.9207920792079208	0
110	-4269.967868863789	-3623.2242038614904	-646.7436650022987	0.20222222222222222	0.18	0.0	0.0	0.0	1.0	0.0	0.0017843625727209053	0.15138474796581397	-0.0112872770916344	0.18358596650014009	0.02068632777317	0.1454893269699358	0.900990099009901	0
120	-4269.560206337748	-3622.4863456031794	-647.0738607345687	0.20222222222222222	0.18	0.0	0.0	0.0	1.0	0.0	0.0005815717670594508	0.15432585378473834	-0.01380167609384027	0.18810362892931937	0.024121069414148863	0.14984572953736816	0.900990099009901	0
130	-4269.997879733238	-3622.2534610221824	-647.7444187110555	0.20222222222222222	0.18	0.0	0.0	0.0	1.0	0.0	0.0013025942067942668	0.15996899447089005	-0.03048547341774984	0.1980363691956288	0.029899738728543925	0.1586427477098302	0.9108910891089109	0
140	-4270.382546723763	-3622.5050377773923	-647.8775089463708	0.20222222222222222	0.18	0.0	0.0	0.0	1.0	0.0	0.001853548490000565	0.1613282447835132	-0.02863367355059278	0.19724311504249326	0.03346081940337751	0.15752218366924858	0.900990099009901	0
150	-4271.044154637549	-3622.412444694201	-648.6317099433473	0.20222222222222222	0.18	0.0	0.0	0.0	1.0	0.0	0.0015438751361760987	0.16766890352277064	-0.04323495052700008	0.2087517635805413	0.03679615180576257	0.16003326625058545	0.8910891089108911	0
160	-4270.9179631635025	-3622.0309681126973	-648.8869950508054	0.2222222222222222	0.192	0.0	0.0	0.09955752212389381	1.0	0.0	0.001713361736188281	0.17011956772581174	-0.034838611543375475	0.20972367833922376	0.03604424864439688	0.15880844669871297	0.8811881188118812	0
170	-4271.100560136187	-3621.575252750825	-649.525307385362	0.22844444444444445	0.216	0.0	0.0	1.0	0.13626373626373625	0.0	0.0018796048020213476	0.17587031418799695	-0.03319187131177874	0.20509392933791903	0.040286741841096166	0.16335403838729973	0.8811881188118812	0
180	-4270.988023941746	-3621.321350691826	-649.66667324992	0.20222222222222222	0.196	0.0	0.0	1.0	0.006593406593406593	0.0	0.002982375990912611	0.17700026668957436	-0.04074527389234601	0.20123738038059769	0.03760598056417807	0.1689309122211186	0.8811881188118812	0
190	-4271.318127311193	-3621.0700994555973	-650.2480278555959	0.3808888888888889	0.356	0.0	0.0	0.9911504424778761	0.8989010989010989	0.0	-0.0007027436083527873	0.1813450233014507	-0.04207999329795485	0.207621240741724	0.0533867123386905	0.17480374148632113	0.8712871287128713	0
200	-4272.1112460718905	-3621.1895516929007	-650.92169437899	0.23644444444444446	0.204	0.0	0.0	0.17035398230088494	1.0	0.0	-0.0032528222718816386	0.18635530746668197	-0.045130852345589195	0.2193794075109652	0.05947210184786185	0.17566374853836403	0.8712871287128713	0
210	-4272.7581149949165	-3621.175253981438	-651.5828610134781	0.2071111111111111	0.184	0.0	0.0	0.024336283185840708	1.0	0.0	-0.0020065640905436452	0.19180203481361377	-0.04776813462300678	0.21931077333205065	0.062154112373045606	0.17501253508576453	0.8910891089108911	0
220	-4273.4534767563355	-3621.293909618734	-652.1595671376016	0.22933333333333333	0.216	0.0	0.0	1.0	0.14065934065934066	0.0	-0.0023931976639114624	0.1952683985744146	-0.050737038097367	0.23692039878002288	0.06544442487706953	0.18181877032356153	0.8910891089108911	0
230	-4274.26306997276	-3621.766893846988	-652.4961761257716	0.268	0.236	0.0	0.0	0.3274336283185841	1.0	0.0	-0.0011298307127752267	0.19776678027506542	-0.056445467300842295	0.2366817757701089	0.07896048844190287	0.1796603198993889	0.900990099009901	0
240	-4274.118057357889	-3621.452935243032	-652.6651221148569	0.20222222222222222	0.18	0.0	0.0	0.0	1.0	0.0	-0.001678762335883067	0.19901763567025366	-0.05840327305466384	0.2351594385961194	0.06973185240239287	0.18628817362185754	0.900990099009901	0
250	-4277.237939271371	-3623.708326943174	-653.5296123281967	0.2008888888888889	0.192	0.0	0.0	1.0	0.0	0.0	-0.0011377036440895106	0.20597479500659335	-0.05491613204551261	0.22106555342169606	0.08240864038393786	0.18978595130928264	0.9108910891089109	0
260	-4277.970818330172	-3624.012608359844	-653.9582099703275	0.2008888888888889	0.192	0.0	0.0	1.0	0.0	0.0	-0.0034283771103474046	0.20917256405221168	-0.05840458030330417	0.22031408439572023	0.0869400858173509	0.18768953575610714	0.9207920792079208	0
