"","NodeID","Gam","Sting","Troph","Liq","Small","Medium","Large","sp1","sp2"
"1",0,0.777,0.9894,0.034,0.1124,0.3896,0.2924,0.318,"Acromyrmex.coronatus","Protanilla.lini"
"2",1,0.759,0.9924,0.042,0.1142,0.407,0.296,0.297,"Acromyrmex.coronatus","Proceratium.pergandei"
"3",2,0.701,0.9906,0.099,0.233,0.2714,0.3522,0.3764,"Acromyrmex.coronatus","Ooceraea.biroi"
"4",3,0.693,0.9896,0.177,0.4804,0.2592,0.3516,0.3892,"Acromyrmex.coronatus","Nothomyrmecia.macrops"
"5",4,0.688,0.9864,0.177,0.5006,0.2338,0.3626,0.4036,"Acromyrmex.coronatus","Brachymyrmex.patagonicus"
"6",5,0.687,0.9896,0.162,0.4992,0.2294,0.3688,0.4018,"Acromyrmex.coronatus","Gnamptogenys.striatula"
"7",6,0.267,0.9896,0.166,0.4616,0.223,0.3734,0.4036,"Acromyrmex.coronatus","Manica.rubida"
"8",7,0.213,0.9896,0.165,0.4118,0.2164,0.374,0.4096,"Acromyrmex.coronatus","Pogonomyrmex.californicus"
"9",8,0.135,0.9862,0.191,0.4164,0.2162,0.365,0.4188,"Acromyrmex.coronatus","Stenamma.impar"
"10",9,0.116,0.9876,0.681,0.4626,0.2222,0.3682,0.4096,"Acromyrmex.coronatus","Monomorium.floricola"
"11",10,0.113,0.9876,0.694,0.464,0.2308,0.3748,0.3944,"Acromyrmex.coronatus","Proatta.butteli"
"12",11,0.081,0.9862,0.702,0.4174,0.2364,0.4284,0.3352,"Acromyrmex.coronatus","Wasmannia.auropunctata"
"13",12,0.079,0.982,0.702,0.3432,0.2376,0.4288,0.3336,"Acromyrmex.coronatus","Basiceros.manni"
"14",13,0.073,0.9806,0.708,0.1732,0.2368,0.4318,0.3314,"Acromyrmex.coronatus","Orectognathus.versicolor"
"15",14,0.065,0.7162,0.712,0.1196,0.2306,0.4418,0.3276,"Acromyrmex.coronatus","Myrmicocrypta.ednaella"
"16",15,0.034,0.0472,0.771,0.037,0.086,0.4576,0.4564,"Acromyrmex.coronatus","Cyphomyrmex.rimosus"
"17",16,0.015,0.0078,0.78,0.0172,0.0302,0.3304,0.6394,"Acromyrmex.coronatus","Acromyrmex.subterraneus"
"18",17,0.011,0.0034,0.777,0.0086,0.0106,0.2064,0.783,"Acromyrmex.coronatus","Acromyrmex.balzani"
"19",18,0.008,0.0014,0.773,0.0064,0.0072,0.1168,0.876,"Acromyrmex.coronatus","Acromyrmex.crassispinus"
"20",19,0.008,6e-04,0.838,0.0064,0.0046,0.088,0.9074,"Acromyrmex.coronatus","Atta.laevigata"
"21",20,0.006,6e-04,0.853,0.0054,0.0024,0.0674,0.9302,"Acromyrmex.coronatus","Atta.texana"
"22",21,0.006,6e-04,0.853,0.0044,0.002,0.0648,0.9332,"Acromyrmex.coronatus","Atta.sexdens"
"23",22,0.006,6e-04,0.855,0.0044,0.002,0.064,0.934,"Acromyrmex.coronatus","Acromyrmex.octospinosus"
"24",23,0,0,0.879,0,0,0,1,"Acromyrmex.coronatus",NA
"25",24,0,0,1,0,0,0,1,"Acromyrmex.octospinosus",NA
"26",25,0.001,6e-04,0.789,2e-04,6e-04,0.1674,0.832,"Acromyrmex.landolti","Atta.sexdens"
"27",26,0,0,1,0,0,1,0,"Acromyrmex.landolti",NA
"28",27,0,0,0,0,0,0,1,"Atta.sexdens",NA
"29",28,0.006,6e-04,0.88,0.005,0.002,0.0564,0.9416,"Acromyrmex.fracticornis","Atta.texana"
"30",29,0,0,0.888,0,0,0,1,"Acromyrmex.fracticornis",NA
"31",30,0,0,1,0,0,0,1,"Atta.texana",NA
"32",31,0,0,1,0,0,0,1,"Atta.laevigata",NA
"33",32,0,0,0,0,0,0,1,"Acromyrmex.crassispinus",NA
"34",33,0.01,0.0028,0.777,0.0066,0.01,0.2066,0.7834,"Atta.cephalotes","Acromyrmex.balzani"
"35",34,0.008,6e-04,0.76,0.0064,0.0044,0.1036,0.892,"Atta.cephalotes","Atta.vollenweideri"
"36",35,0.008,6e-04,0.75,0.0062,0.0044,0.1008,0.8948,"Atta.cephalotes","Atta.colombica"
"37",36,0,0,0,0,0,0,1,"Atta.cephalotes",NA
"38",37,0,0,0.811,0,0,0,1,"Atta.colombica",NA
"39",38,0.002,6e-04,0.834,0.0014,0,0.0258,0.9742,"Atta.mexicana","Atta.vollenweideri"
"40",39,0,0,0.838,0,0,0,1,"Atta.mexicana",NA
"41",40,0,0,0.846,0,0,0,1,"Atta.vollenweideri",NA
"42",41,0,0,1,0,0,1,0,"Acromyrmex.balzani",NA
"43",42,0,0,1,0,0,1,0,"Acromyrmex.subterraneus",NA
"44",43,0,0,1,0,0,1,0,"Cyphomyrmex.rimosus",NA
"45",44,0.059,0.702,0.712,0.0948,0.2484,0.4838,0.2678,"Apterostigma.collare","Myrmicocrypta.ednaella"
"46",45,0.031,0.0698,0.825,0.059,0.3714,0.527,0.1016,"Apterostigma.collare","Apterostigma.dentigerum"
"47",46,0,0,0.984,0,1,0,0,"Apterostigma.collare",NA
"48",47,0,0,0.83,0,0,1,0,"Apterostigma.dentigerum",NA
"49",48,0,1,0.516,0,0,1,0,"Myrmicocrypta.ednaella",NA
"50",49,0.069,0.9854,0.711,0.1718,0.2388,0.437,0.3242,"Acanthognathus.ocellatus","Orectognathus.versicolor"
"51",50,0.026,0.9948,0.633,0.0426,0.8434,0.1362,0.0204,"Acanthognathus.ocellatus","Acanthognathus.rudis"
"52",51,0,1,0.645,0,1,0,0,"Acanthognathus.ocellatus",NA
"53",52,0,1,0.599,0,1,0,0,"Acanthognathus.rudis",NA
"54",53,0.066,0.9854,0.723,0.1802,0.2302,0.4382,0.3316,"Daceton.armigerum","Orectognathus.versicolor"
"55",54,0,1,1,1,0,0,1,"Daceton.armigerum",NA
"56",55,0,1,1,0,0,1,0,"Orectognathus.versicolor",NA
"57",56,0.073,0.9776,0.688,0.3442,0.2432,0.4404,0.3164,"Pheidole.bicornis","Basiceros.manni"
