Species;No trophallaxis;Trophallaxis
Acanthognathus.ocellatus;0.87;0.13
Acanthognathus.rudis;0.9;0.1
Acromyrmex.coronatus;0.02;0.98
Acromyrmex.fracticornis;0.02;0.98
Acromyrmex.landolti;0.02;0.98
Acropyga.epedana;0.0;1.0
Aenictus.laeviceps;1.0;0.0
Anochetus.bequaerti;0.0;1.0
Anochetus.diegensis;0.24;0.76
Anochetus.faurei;0.0;1.0
Anochetus.katonae;0.0;1.0
Anochetus.levaillanti;0.61;0.39
Anoplolepis.custodiens;0.0;1.0
Aphaenogaster.araneoides;1.0;0.0
Aphaenogaster.gibbosa;0.9;0.1
Aphaenogaster.longiceps;0.59;0.41
Aphaenogaster.rudis;0.78;0.22
Apomyrma.stygia;0.96;0.04
Apterostigma.collare;0.84;0.16
Apterostigma.dentigerum;0.84;0.16
Atta.cephalotes;0.03;0.97
Atta.colombica;0.03;0.97
Atta.mexicana;0.01;0.99
Atta.vollenweideri;0.01;0.99
Azteca.forelii;0.0;1.0
Blepharidatta.conops;0.02;0.98
Brachymyrmex.depilis;0.0;1.0
Camponotus.aethiops;0.0;1.0
Camponotus.americanus;0.0;1.0
Camponotus.castaneus;0.0;1.0
Camponotus.chromaiodes;0.0;1.0
Camponotus.compressus;0.0;1.0
Camponotus.consobrinus;0.0;1.0
Camponotus.crassus;0.0;1.0
Camponotus.dalmaticus;0.0;1.0
Camponotus.fallax;0.0;1.0
Camponotus.foreli;0.0;1.0
Camponotus.japonicus;0.0;1.0
Camponotus.lateralis;0.0;1.0
Camponotus.ligniperda;0.0;1.0
Camponotus.modoc;0.0;1.0
Camponotus.nearcticus;0.0;1.0
Camponotus.piceus;0.0;1.0
Camponotus.pilicornis;0.0;1.0
Camponotus.planatus;0.0;1.0
Camponotus.punctulatus;0.0;1.0
Camponotus.rectangularis;0.0;1.0
Camponotus.saxatilis;0.0;1.0
Camponotus.senex;0.0;1.0
Camponotus.sericeus;0.0;1.0
Camponotus.socius;0.0;1.0
Camponotus.vividus;0.0;1.0
Cardiocondyla.emeryi;0.0;1.0
Cardiocondyla.koshewnikovi;0.0;1.0
Cardiocondyla.mauritanica;0.0;1.0
Cardiocondyla.nuda;0.0;1.0
Carebara.diversa;0.0;1.0
Cataglyphis.aenescens;0.0;1.0
Cataglyphis.bicolor;0.0;1.0
Cataglyphis.bombycina;0.0;1.0
Cataglyphis.cursor;0.0;1.0
Cataglyphis.rosenhaueri;0.0;1.0
Cataglyphis.velox;0.0;1.0
Centromyrmex.sellaris;0.14;0.86
Cephalotes.texanus;0.09;0.91
Cephalotes.varians;0.01;0.99
Cerapachys.sulcinodis;1.0;0.0
Crematogaster.auberti;0.1;0.9
Crematogaster.cerasi;0.05;0.95
Crematogaster.minutissima;0.83;0.17
Crematogaster.rogenhoferi;0.0;1.0
Crematogaster.scutellaris;0.11;0.89
Crematogaster.sordidula;0.11;0.89
Cryptopone.motschulskyi;0.21;0.79
Diacamma.rugosum;0.25;0.75
Dinoponera.gigantea;0.38;0.62
Dinoponera.grandis;0.38;0.62
Discothyrea.kamiteta;0.93;0.07
Dolichoderus.attelaboides;0.0;1.0
Dolichoderus.mariae;0.0;1.0
Dolichoderus.quadripunctatus;0.0;1.0
Dorylus.wilverthi;1.0;0.0
Dorymyrmex.bureni;0.0;1.0
Eciton.burchellii;1.0;0.0
Eciton.hamatum;1.0;0.0
Eciton.mexicanum;1.0;0.0
Eciton.rapax;0.96;0.04
Eciton.vagans;0.98;0.02
Ectatomma.brunneum;1.0;0.0
Ectatomma.edentatum;1.0;0.0
Ectatomma.tuberculatum;1.0;0.0
Forelius.pruinosus;0.0;1.0
Formica.aquilonia;0.0;1.0
Formica.archboldi;0.0;1.0
Formica.bruni;0.0;1.0
Formica.clara;0.0;1.0
Formica.cunicularia;0.0;1.0
Formica.exsectoides;0.0;1.0
Formica.incerta;0.0;1.0
Formica.lemani;0.0;1.0
Formica.pallidefulva;0.0;1.0
Formica.picea;0.0;1.0
Formica.podzolica;0.0;1.0
Formica.rufibarbis;0.0;1.0
Formica.subsericea;0.0;1.0
Formica.yessensis;0.0;1.0
Gnamptogenys.bicolor;1.0;0.0
Gnamptogenys.menadensis;1.0;0.0
Harpegnathos.saltator;0.79;0.21
Iridomyrmex.purpureus;0.0;1.0
Labidus.coecus;1.0;0.0
Labidus.praedator;1.0;0.0
Lasius.alienus;0.0;1.0
Lasius.carniolicus;0.0;1.0
Lasius.emarginatus;0.0;1.0
Lasius.grandis;0.0;1.0
Lasius.jensi;0.0;1.0
Lasius.meridionalis;0.0;1.0
Lasius.myops;0.0;1.0
Lasius.neoniger;0.0;1.0
Lasius.paralienus;0.0;1.0
Lasius.psammophilus;0.0;1.0
Lasius.reginae;0.0;1.0
Lasius.umbratus;0.0;1.0
Leptogenys.peuqueti;0.82;0.18
Leptomyrmex.fragilis;0.0;1.0
Leptomyrmex.nigriventris;0.0;1.0
Leptomyrmex.unicolor;0.0;1.0
Liometopum.apiculatum;0.0;1.0
Meranoplus.mucronatus;0.0;1.0
Messor.aciculatus;1.0;0.0
Messor.aegyptiacus;1.0;0.0
Messor.arenarius;1.0;0.0
Messor.bouvieri;1.0;0.0
Messor.ebeninus;1.0;0.0
Messor.minor;1.0;0.0
Messor.wasmanni;1.0;0.0
Metapone.madagascarica;0.95;0.05
Monomorium.floricola;0.0;1.0
Monomorium.minimum;0.0;1.0
Myopias.concava;0.12;0.88
Myopias.julivora;0.2;0.8
Myrmecina.americana;0.87;0.13
Myrmecina.graminicola;0.9;0.1
Myrmecina.nipponica;0.86;0.14
Myrmecocystus.depilis;0.0;1.0
Myrmecocystus.mendax;0.0;1.0
Myrmica.curvithorax;0.0;1.0
Myrmica.gallienii;0.0;1.0
Myrmica.lobicornis;0.03;0.97
Myrmica.punctiventris;0.0;1.0
Myrmica.rugulosa;0.0;1.0
Myrmica.scabrinodis;0.01;0.99
Myrmica.specioides;0.01;0.99
Myrmicaria.brunnea;0.0;1.0
Myrmicocrypta.ednaella;0.84;0.16
Neivamyrmex.nigrescens;1.0;0.0
Neivamyrmex.opacithorax;1.0;0.0
Neivamyrmex.texanus;1.0;0.0
Neoponera.commutata;0.32;0.68
Neoponera.obscuricornis;0.34;0.66
Neoponera.verenae;0.31;0.69
Neoponera.villosa;0.3;0.7
Nomamyrmex.esenbeckii;1.0;0.0
Novomessor.cockerelli;0.87;0.13
Ochetellus.glaber;0.0;1.0
Odontomachus.bauri;0.28;0.72
Odontomachus.brunneus;0.0;1.0
Odontomachus.chelifer;0.35;0.65
Odontomachus.clarus;0.59;0.41
Odontomachus.haematodus;0.0;1.0
Odontomachus.hastatus;0.0;1.0
Odontomachus.laticeps;0.4;0.6
Odontomachus.opaciventris;0.0;1.0
Odontomachus.troglodytes;0.0;1.0
Onychomyrmex.hedleyi;1.0;0.0
Pachycondyla.harpax;0.34;0.66
Pachycondyla.striata;0.32;0.68
Paraponera.clavata;0.3;0.7
Pheidole.fallax;0.0;1.0
Pheidole.pallidula;0.0;1.0
Pheidole.specularis;0.0;1.0
Platythyrea.lamellosa;1.0;0.0
Platythyrea.modesta;0.78;0.22
Platythyrea.parallela;0.99;0.01
Platythyrea.quadridenta;1.0;0.0
Platythyrea.tricuspidata;1.0;0.0
Pogonomyrmex.californicus;0.78;0.22
Pogonomyrmex.imberbiculus;0.83;0.17
Pogonomyrmex.maricopa;0.48;0.52
Pogonomyrmex.montanus;0.81;0.19
Pogonomyrmex.occidentalis;0.74;0.26
Pogonomyrmex.rugosus;0.47;0.53
Pogonomyrmex.subnitidus;0.71;0.29
Pogonomyrmex.texanus;0.59;0.41
Polyrhachis.arachne;0.0;1.0
Polyrhachis.hodgsoni;0.0;1.0
Polyrhachis.moesta;0.0;1.0
Ponera.exotica;0.34;0.66
Ponera.pennsylvanica;0.42;0.58
Ponera.testacea;0.53;0.47
Prionopelta.opaca;0.96;0.04
Probolomyrmex.boliviensis;0.92;0.08
Probolomyrmex.dammermani;0.88;0.12
Probolomyrmex.longinodus;0.74;0.26
Proceratium.goliath;0.71;0.29
Proceratium.itoi;0.98;0.02
Proceratium.pergandei;0.97;0.03
Proceratium.silaceum;0.95;0.05
Protanilla.lini;1.0;0.0
Pseudomyrmex.concolor;0.0;1.0
Pseudomyrmex.ejectus;0.0;1.0
Pseudomyrmex.pallidus;0.0;1.0
Pseudomyrmex.spinicola;0.0;1.0
Rhytidoponera.chalybaea;1.0;0.0
Rhytidoponera.metallica;1.0;0.0
Solenopsis.fugax;0.0;1.0
