species,troph
Acanthognathus.ocellatus,0
Acanthognathus.rudis,0
Acanthomyrmex.ferox,1
Acanthomyrmex.notabilis,1
Acromyrmex.balzani,1
Acromyrmex.coronatus,1
Acromyrmex.crassispinus,0
Acromyrmex.fracticornis,1
Acromyrmex.landolti,1
Acromyrmex.octospinosus,1
Acromyrmex.subterraneus,1
Acropyga.epedana,1
Aenictus.laeviceps,0
Amblyopone.australis,0
Aneuretus.simoni,1
Anochetus.bequaerti,0
Anochetus.diegensis,0
Anochetus.faurei,0
Anochetus.katonae,0
Anochetus.kempfi,1
Anochetus.levaillanti,0
Anoplolepis.custodiens,1
Anoplolepis.gracilipes,1
Aphaenogaster.araneoides,0
Aphaenogaster.gibbosa,0
Aphaenogaster.longiceps,1
Aphaenogaster.rudis,0
Aphaenogaster.senilis,0
Aphaenogaster.subterranea,0
Apomyrma.stygia,0
Apterostigma.collare,1
Apterostigma.dentigerum,1
Atopomyrmex.mocquerysi,1
Atta.cephalotes,0
Atta.colombica,1
Atta.laevigata,1
Atta.mexicana,1
Atta.sexdens,0
Atta.texana,1
Atta.vollenweideri,1
Azteca.forelii,1
Basiceros.manni,0
Blepharidatta.conops,1
Brachymyrmex.depilis,1
Brachymyrmex.patagonicus,1
Brachyponera.chinensis,1
Camponotus.aethiops,1
Camponotus.americanus,1
Camponotus.castaneus,1
Camponotus.chromaiodes,1
Camponotus.compressus,1
Camponotus.consobrinus,1
Camponotus.crassus,1
Camponotus.cruentatus,1
Camponotus.dalmaticus,1
Camponotus.fallax,1
Camponotus.fellah,1
Camponotus.floridanus,1
Camponotus.foreli,1
Camponotus.herculeanus,1
Camponotus.japonicus,1
Camponotus.lateralis,1
Camponotus.ligniperda,1
Camponotus.modoc,1
Camponotus.mus,1
Camponotus.nearcticus,1
Camponotus.pennsylvanicus,1
Camponotus.piceus,1
Camponotus.pilicornis,1
Camponotus.planatus,1
Camponotus.punctulatus,1
Camponotus.rectangularis,1
Camponotus.sanctus,1
Camponotus.saxatilis,1
Camponotus.senex,1
Camponotus.sericeus,1
Camponotus.socius,1
Camponotus.vagus,1
Camponotus.vividus,1
Camponotus.yamaokai,1
Cardiocondyla.emeryi,1
Cardiocondyla.koshewnikovi,1
Cardiocondyla.mauritanica,1
Cardiocondyla.nuda,1
Cardiocondyla.obscurior,1
Carebara.diversa,1
Carebara.overbecki,1
Carebara.perpusilla,1
Cataglyphis.aenescens,1
Cataglyphis.bicolor,1
Cataglyphis.bombycina,1
Cataglyphis.cursor,1
Cataglyphis.iberica,1
Cataglyphis.nigra,1
Cataglyphis.rosenhaueri,1
Cataglyphis.velox,1
Cataulacus.muticus,1
Centromyrmex.sellaris,1
Cephalotes.atratus,1
Cephalotes.goniodontus,1
Cephalotes.pusillus,1
Cephalotes.texanus,1
Cephalotes.varians,1
Cerapachys.sulcinodis,0
Crematogaster.ashmeadi,1
Crematogaster.auberti,1
Crematogaster.cerasi,1
Crematogaster.minutissima,1
Crematogaster.rogenhoferi,1
Crematogaster.scutellaris,1
Crematogaster.sordidula,1
Cryptopone.gilva,1
Cryptopone.motschulskyi,0
Cryptopone.sauteri,0
Cyphomyrmex.rimosus,1
Daceton.armigerum,1
Diacamma.rugosum,0
Dinoponera.gigantea,0
Dinoponera.grandis,0
Dinoponera.quadriceps,0
Discothyrea.kamiteta,0
Discothyrea.sauteri,0
Dolichoderus.attelaboides,1
Dolichoderus.mariae,1
Dolichoderus.quadripunctatus,1
Dolichoderus.thoracicus,1
Dorylus.laevigatus,0
Dorylus.wilverthi,1
Dorymyrmex.bureni,1
Eciton.burchellii,1
Eciton.hamatum,1
Eciton.mexicanum,1
Eciton.rapax,1
Eciton.vagans,1
Ectatomma.brunneum,1
Ectatomma.edentatum,1
Ectatomma.ruidum,0
Ectatomma.tuberculatum,0
Eurhopalothrix.biroi,0
Eurhopalothrix.heliscata,0
Forelius.damiani,1
Forelius.pruinosus,1
Formica.aquilonia,1
Formica.archboldi,1
Formica.bruni,1
Formica.cinerea,1
Formica.clara,1
Formica.cunicularia,1
Formica.exsecta,1
Formica.exsectoides,1
Formica.fusca,1
Formica.glacialis,1
Formica.incerta,1
Formica.japonica,1
Formica.lemani,1
Formica.lugubris,1
Formica.obscuripes,1
Formica.pallidefulva,1
Formica.paralugubris,1
Formica.picea,1
Formica.podzolica,1
Formica.polyctena,1
Formica.pratensis,1
Formica.rufa,1
Formica.rufibarbis,1
Formica.sanguinea,1
Formica.subintegra,1
Formica.subsericea,1
Formica.truncorum,1
Formica.yessensis,1
Formicoxenus.provancheri,1
Gnamptogenys.bicolor,0
Gnamptogenys.menadensis,1
Gnamptogenys.striatula,0
Harpegnathos.saltator,0
Hypoponera.eduardi,1
Iridomyrmex.purpureus,1
Labidus.coecus,1
Labidus.praedator,1
Lasius.alienus,1
Lasius.brunneus,1
Lasius.carniolicus,1
Lasius.emarginatus,1
Lasius.flavus,1
Lasius.fuliginosus,1
Lasius.grandis,1
Lasius.jensi,1
Lasius.meridionalis,1
Lasius.myops,1
Lasius.neglectus,1
Lasius.neoniger,1
Lasius.niger,1
Lasius.paralienus,1
Lasius.platythorax,1
Lasius.psammophilus,1
Lasius.reginae,1
Lasius.umbratus,1
Leptanilla.japonica,0
Leptogenys.peuqueti,0
Leptogenys.schwabi,0
Leptomyrmex.erythrocephalus,1
Leptomyrmex.fragilis,1
Leptomyrmex.nigriventris,1
Leptomyrmex.unicolor,1
Leptothorax.acervorum,1
Leptothorax.muscorum,1
Linepithema.humile,1
Liometopum.apiculatum,1
Liometopum.occidentale,1
Manica.rubida,1
Megaponera.analis,0
Melophorus.bagoti,1
Meranoplus.mucronatus,1
Mesoponera.caffraria,1
Messor.aciculatus,0
Messor.aegyptiacus,1
Messor.arenarius,0
Messor.barbarus,0
Messor.bouvieri,1
Messor.capitatus,0
Messor.ebeninus,1
Messor.minor,0
Messor.structor,0
Messor.wasmanni,1
Metapone.madagascarica,0
Monomorium.floricola,1
Monomorium.minimum,1
Monomorium.pharaonis,1
Monomorium.rothsteini,1
Myopias.concava,0
Myopias.julivora,0
Myrmecia.pyriformis,1
Myrmecina.americana,1
Myrmecina.graminicola,1
Myrmecina.nipponica,1
Myrmecocystus.depilis,1
Myrmecocystus.mendax,1
Myrmecocystus.mexicanus,1
Myrmecocystus.mimicus,1
Myrmica.curvithorax,0
Myrmica.gallienii,0
Myrmica.incompleta,1
Myrmica.lobicornis,0
Myrmica.punctiventris,0
Myrmica.rubra,1
Myrmica.ruginodis,1
Myrmica.rugulosa,0
Myrmica.sabuleti,1
Myrmica.scabrinodis,1
Myrmica.schencki,0
Myrmica.specioides,0
Myrmicaria.brunnea,1
Myrmicaria.natalensis.eumenoides,1
Myrmicocrypta.ednaella,0
Myrmoteras.barbouri,1
Myrmoteras.iriodum,1
Myrmoteras.jaitrongi,1
Myrmoteras.toro,1
Neivamyrmex.nigrescens,1
Neivamyrmex.opacithorax,1
Neivamyrmex.texanus,1
Neoponera.apicalis,0
