416	1
Acanthognathus.ocellatus	{T:0.4,N:0.6}
Acanthognathus.rudis	{T:0.26,N:0.74}
Acanthomyrmex.ferox	T
Acanthomyrmex.notabilis	T
Acromyrmex.balzani	T
Acromyrmex.coronatus	{T:0.79,N:0.21}
Acromyrmex.crassispinus	N
Acromyrmex.fracticornis	{T:0.74,N:0.26}
Acromyrmex.landolti	T
Acromyrmex.octospinosus	T
Acromyrmex.subterraneus	T
Acropyga.epedana	T
Aenictus.laeviceps	{T:0.36,N:0.64}
Amblyopone.australis	N
Aneuretus.simoni	T
Anochetus.bequaerti	{T:0.16,N:0.84}
Anochetus.diegensis	{T:0.31,N:0.69}
Anochetus.faurei	{T:0.33,N:0.67}
Anochetus.katonae	{T:0.16,N:0.84}
Anochetus.kempfi	T
Anochetus.levaillanti	{T:0.1,N:0.9}
Anoplolepis.custodiens	T
Anoplolepis.gracilipes	T
Aphaenogaster.araneoides	{T:0.46,N:0.54}
Aphaenogaster.gibbosa	N
Aphaenogaster.longiceps	T
Aphaenogaster.rudis	{T:0.03,N:0.97}
Aphaenogaster.senilis	N
Aphaenogaster.subterranea	N
Apomyrma.stygia	{T:0.02,N:0.98}
Apterostigma.collare	{T:0.99,N:0.01}
Apterostigma.dentigerum	{T:0.56,N:0.44}
Atopomyrmex.mocquerysi	T
Atta.cephalotes	N
Atta.colombica	{T:0.87,N:0.13}
Atta.laevigata	T
Atta.mexicana	{T:0.71,N:0.29}
Atta.sexdens	N
Atta.texana	T
Atta.vollenweideri	{T:0.78,N:0.22}
Azteca.forelii	T
Basiceros.manni	N
Blepharidatta.conops	{T:0.75,N:0.25}
Brachymyrmex.depilis	T
Brachymyrmex.patagonicus	T
Brachyponera.chinensis	T
Camponotus.aethiops	T
Camponotus.americanus	T
Camponotus.castaneus	T
Camponotus.chromaiodes	T
Camponotus.compressus	T
Camponotus.consobrinus	T
Camponotus.crassus	T
Camponotus.cruentatus	T
Camponotus.dalmaticus	T
Camponotus.fallax	T
Camponotus.fellah	T
Camponotus.floridanus	T
Camponotus.foreli	T
Camponotus.herculeanus	T
Camponotus.japonicus	T
Camponotus.lateralis	T
Camponotus.ligniperda	T
Camponotus.modoc	T
Camponotus.mus	T
Camponotus.nearcticus	T
Camponotus.pennsylvanicus	T
Camponotus.piceus	T
Camponotus.pilicornis	T
Camponotus.planatus	T
Camponotus.punctulatus	T
Camponotus.rectangularis	T
Camponotus.sanctus	T
Camponotus.saxatilis	T
Camponotus.senex	T
Camponotus.sericeus	T
Camponotus.socius	T
Camponotus.vagus	T
Camponotus.vividus	T
Camponotus.yamaokai	T
Cardiocondyla.emeryi	T
Cardiocondyla.koshewnikovi	T
Cardiocondyla.mauritanica	T
Cardiocondyla.nuda	T
Cardiocondyla.obscurior	T
Carebara.diversa	T
Carebara.overbecki	T
Carebara.perpusilla	T
Cataglyphis.aenescens	{T:0.97,N:0.03}
Cataglyphis.bicolor	T
Cataglyphis.bombycina	T
Cataglyphis.cursor	T
Cataglyphis.iberica	T
Cataglyphis.nigra	T
Cataglyphis.rosenhaueri	T
Cataglyphis.velox	T
Cataulacus.muticus	T
Centromyrmex.sellaris	{T:0.67,N:0.33}
Cephalotes.atratus	T
Cephalotes.goniodontus	T
Cephalotes.pusillus	T
Cephalotes.texanus	T
Cephalotes.varians	T
Cerapachys.sulcinodis	N
Crematogaster.ashmeadi	T
Crematogaster.auberti	T
Crematogaster.cerasi	T
Crematogaster.minutissima	T
Crematogaster.rogenhoferi	T
Crematogaster.scutellaris	T
Crematogaster.sordidula	T
Cryptopone.gilva	T
Cryptopone.motschulskyi	{T:0.2,N:0.8}
Cryptopone.sauteri	N
Cyphomyrmex.rimosus	T
Daceton.armigerum	T
Diacamma.rugosum	{T:0.5,N:0.5}
Dinoponera.gigantea	N
Dinoponera.grandis	N
Dinoponera.quadriceps	N
Discothyrea.kamiteta	{T:0.15,N:0.85}
Discothyrea.sauteri	N
Dolichoderus.attelaboides	T
Dolichoderus.mariae	T
Dolichoderus.quadripunctatus	T
Dolichoderus.thoracicus	T
Dorylus.laevigatus	N
Dorylus.wilverthi	{T:0.55,N:0.45}
Dorymyrmex.bureni	T
